INFO |***| ----> PagingTagHelper SettingsJson: default - default  |***| 2022-10-04 13:39:01.8138 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper - PageNo: 1, PageSize: 8, TotalRecords: 15, TotalPages: 2, QueryStringKeyPageNo: page, QueryStringKeyPageSize: pageSize,   |***| 2022-10-04 13:39:01.8138 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| مین اسلایدر جدید ساخته شد  |***| 2022-10-04 13:39:09.3109 |***| 0|***| KalaMarket.Infrastructure.LoggerManger|
INFO |***| ----> PagingTagHelper SettingsJson: default - default  |***| 2022-10-04 13:39:09.3301 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper - PageNo: 1, PageSize: 8, TotalRecords: 16, TotalPages: 2, QueryStringKeyPageNo: page, QueryStringKeyPageSize: pageSize,   |***| 2022-10-04 13:39:09.3416 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| مین اسلایدر جدید ساخته شد  |***| 2022-10-04 13:39:18.0809 |***| 0|***| KalaMarket.Infrastructure.LoggerManger|
INFO |***| ----> PagingTagHelper SettingsJson: default - default  |***| 2022-10-04 13:39:18.0930 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper - PageNo: 1, PageSize: 8, TotalRecords: 17, TotalPages: 3, QueryStringKeyPageNo: page, QueryStringKeyPageSize: pageSize,   |***| 2022-10-04 13:39:18.0930 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| مین اسلایدر جدید ساخته شد  |***| 2022-10-04 13:39:28.3419 |***| 0|***| KalaMarket.Infrastructure.LoggerManger|
INFO |***| ----> PagingTagHelper SettingsJson: default - default  |***| 2022-10-04 13:39:28.3571 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper - PageNo: 1, PageSize: 8, TotalRecords: 18, TotalPages: 3, QueryStringKeyPageNo: page, QueryStringKeyPageSize: pageSize,   |***| 2022-10-04 13:39:28.3571 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| مین اسلایدر جدید ساخته شد  |***| 2022-10-04 13:39:37.3114 |***| 0|***| KalaMarket.Infrastructure.LoggerManger|
INFO |***| ----> PagingTagHelper SettingsJson: default - default  |***| 2022-10-04 13:39:37.3275 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper - PageNo: 1, PageSize: 8, TotalRecords: 19, TotalPages: 3, QueryStringKeyPageNo: page, QueryStringKeyPageSize: pageSize,   |***| 2022-10-04 13:39:37.3275 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| مین اسلایدر جدید ساخته شد  |***| 2022-10-04 13:39:45.5165 |***| 0|***| KalaMarket.Infrastructure.LoggerManger|
INFO |***| ----> PagingTagHelper SettingsJson: default - default  |***| 2022-10-04 13:39:45.5455 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper - PageNo: 1, PageSize: 8, TotalRecords: 20, TotalPages: 3, QueryStringKeyPageNo: page, QueryStringKeyPageSize: pageSize,   |***| 2022-10-04 13:39:45.5455 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper SettingsJson: default - default  |***| 2022-10-04 13:39:48.7364 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper - PageNo: 1, PageSize: 8, TotalRecords: 20, TotalPages: 3, QueryStringKeyPageNo: page, QueryStringKeyPageSize: pageSize,   |***| 2022-10-04 13:39:48.7364 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper SettingsJson: default - default  |***| 2022-10-04 13:39:51.8005 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper - PageNo: 1, PageSize: 8, TotalRecords: 20, TotalPages: 3, QueryStringKeyPageNo: page, QueryStringKeyPageSize: pageSize,   |***| 2022-10-04 13:39:51.8005 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| Now listening on: https://localhost:7060  |***| 2022-10-04 14:01:53.4955 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-10-04 14:01:53.4955 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-10-04 14:01:53.4955 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-10-04 14:01:53.4955 |***| 0|***| Microsoft.Hosting.Lifetime|
